year_birth,education,marital_status,income,kidhome,teenhome,date,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,response,customer_age,age_group,day_as_customer,loyality_tier,is_parent,household_size,Total_Spending
1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,1,68,60-80,4612,very loyal,0,1,1617
1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,71,60-80,4062,very loyal,1,3,27
1965,Graduation,Married,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,60,45-60,4261,very loyal,0,1,776
1984,Graduation,Married,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,41,30-45,4088,very loyal,1,2,53
1981,Phd,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,44,30-45,4110,very loyal,1,2,422
1967,Master,Married,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,58,45-60,4242,very loyal,0,2,716
1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,54,45-60,4542,very loyal,0,2,590
1985,Phd,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,40,30-45,4366,very loyal,1,2,169
1974,Phd,Married,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,1,51,45-60,4337,very loyal,1,2,46
1950,Phd,Married,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,75,60-80,4057,very loyal,1,3,49
1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,42,30-45,4175,very loyal,1,2,19
1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,49,45-60,4542,very loyal,0,1,61
1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,66,60-80,4175,very loyal,0,1,1102
1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,73,60-80,4175,very loyal,1,3,310
1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,38,30-45,4576,very loyal,0,1,46
1946,Phd,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,1,79,60-80,4531,very loyal,0,1,1315
1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,45,30-45,4501,very loyal,1,3,96
1946,Graduation,Married,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,79,60-80,4616,very loyal,0,1,317
1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,76,60-80,4407,very loyal,0,2,1782
1985,2N Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,40,30-45,4552,very loyal,1,2,133
1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,43,30-45,4639,very loyal,0,1,316
